RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
102001,United States,0,106610,106752,106920,107086,107296,107511,107766,108014,108284,108468,108700,108950,109274,109602,109910,110242,110536,110848,111126,111476,111861,112433,112961,113468,113810,114180,114561,114970,115431,115952,116511,116990,117417,117783,118257,118781,119401,119993,120665,121348,121970,122529,123083,123746,124441,125162,125875,126593,127326,128060,128770,129480,130234,131026,131825,132642,133490,134330,135111,135884,136670,137463,138229,138979,139739,140505,141285,142036,142771,143506,144273,145058,145840,146633,147468,148346,149243,150133,151050,151999,152981,153946,154896,155830,156769,157715,158637,159568,160559,161640,162773,163905,165034,166230,167530,168913,170302,171771,173311,174943,176548,178146,179728,181332,183009,184732,186459,188156,189934,191729,193603,195496,197412,199325,201134,202862,204421,205814,207078,208310,209476,210551,211443,212137,212657,212974,213200,213343,213425,213490,213506,213467,213336,213024,212565,211951,211360,210657,209869,208895,207872,206677,205253,203642,201901,200202,198486,196783,194941,193178,191404,189577,187684,185844,184301,182814,181367,179949,178734,177795,177011,176338,175813,175598,175501,175437,175239,175092,175056,174977,174696,174013,173195,172252,171326,170295,169328,168364,167452,166492,165465,164441,163555,162942,162496,162165,161802,161480,161166,160958,160830,160903,161137,161523,161935,162397,162914,163508,164198,164991,165858,166827,167848,168973,170143,171379,172669,173993,175322,176610,177829,178927,179944,180894,181811,182536,183133,183672,184268,184853,185363,185863,186448,187160,187907,188624,189360,190219,191109,192011,192814,193609,194457,195337,196196,196973,197830,198763,199720,200568,201451,202349,203325,204322,205331,206347,207370,208464,209530,210577,211598,212699,213861,215018,216178,217283,218414,219589,220826,222095,223343,224533,225750,226986,228238,229442,230569,231663,232705,233684,234595,235478,236343,237181,237897,238551,239171,239846,240554,241306,242076,242866,243668,244457,245269,246132,247084
394913,"New York, NY",1,186859,186541,186250,186073,185981,186025,186149,186274,186420,186695,187305,188021,188693,189190,189813,190436,191058,191574,192083,192804,193628,194528,195129,195599,196019,196554,197133,197705,198505,199503,200725,201813,202961,203914,205090,206340,207945,209692,211530,213605,215434,217232,218828,220669,222575,224629,226863,229272,231669,233967,236273,238628,241009,243402,245778,248204,250579,252944,255420,257853,260401,262884,265418,267798,270200,272661,275441,278229,281018,283844,286531,289112,291716,294445,297430,300531,304206,308108,312021,315761,319661,323537,327520,331699,335678,339535,343122,346775,350137,353189,356087,359158,362324,365900,369463,373188,376721,380657,384786,389320,393837,398581,403359,408195,412734,417098,421241,425408,430207,435061,439863,444330,448980,453832,458825,463480,468103,472040,475806,478427,480650,482386,484311,485640,486025,485586,484204,482676,480906,479316,477988,477728,477148,476697,475005,473351,471656,469917,468774,467475,466027,464592,462732,460241,457595,453967,450848,447510,444754,441806,438464,434917,431499,427645,423803,420172,416739,414121,411257,408746,406085,404299,403175,402711,402480,402399,402462,401993,401782,401342,401756,402020,402143,401534,400324,398760,396871,395486,394202,393448,392032,390486,388305,386432,384756,383333,382028,380571,379350,377985,376644,375371,374441,373900,373710,373537,373448,373415,373518,374027,374752,375468,376352,377265,378704,380279,381897,383628,385359,387229,389251,391211,392933,394826,396489,398329,399597,400811,401830,402730,403657,404488,405234,405687,406464,407258,408413,409147,410122,410922,412026,412955,413828,414738,415686,417138,418273,419039,419657,420493,421803,422865,423908,425017,426329,427695,429159,430581,432194,434119,435747,437535,438796,441046,443317,446117,448604,450924,452947,454705,456396,458425,460824,463288,465722,467592,469262,470315,471537,473102,475005,476851,478100,478660,478883,479087,479423,479730,480102,480619,481078,481282,481284,481383,481869,482586,483379
753899,"Los Angeles-Long Beach-Anaheim, CA",2,184319,184292,184319,184419,184371,184258,184162,184140,184264,183937,183374,183045,183246,183766,184240,184857,185749,186755,187721,188621,189637,191319,193407,195356,196803,198153,199437,200445,201783,203452,205318,207124,208562,210288,211812,213458,214909,216376,218390,220562,222051,223174,224471,226376,228357,230033,231704,233619,235824,238127,240261,242365,244703,247038,249257,251351,253612,255781,258080,260248,262745,264998,267241,269190,271310,273577,276237,278729,281406,284148,287259,290547,294049,297575,301666,306404,311431,316332,321270,326681,332116,337068,341510,345993,350382,355190,359316,364564,370425,377193,383268,390273,397295,405675,414188,423258,433085,444145,455636,465416,473587,481650,489913,496895,503866,510358,518224,526037,533643,539881,546146,554294,563155,572692,581667,589065,596012,601771,606878,611325,615186,619746,622937,624223,625388,623784,623154,621833,621753,621060,619864,618051,616675,613840,611187,606251,599950,591722,583249,576727,569534,562143,551595,540189,526285,512416,500332,489882,480650,473570,466120,457267,445901,437578,433228,430008,426793,423965,421373,420202,420229,421212,422618,425202,429171,430273,428817,428550,430557,434238,433612,431445,427942,425149,422167,418041,415279,413883,413483,411430,408510,403395,402008,400961,400033,397299,394639,394263,393313,392122,390534,389819,389840,391448,393056,395696,398459,402289,407334,411530,417053,422443,430774,439685,449597,458240,466674,474098,482807,490483,496392,501460,504989,509119,509949,510403,509893,510382,510871,512424,512195,512686,513328,516173,518762,522159,526141,530295,532644,535161,537710,540398,543497,546727,550584,553208,557731,560191,563453,565233,569299,572816,575974,578700,582271,586157,589921,592698,594409,597936,600516,604149,606361,610042,613731,617108,620029,622961,626147,631353,636662,641251,645355,649435,653193,655201,657095,658825,660099,660318,661389,662656,663122,663066,660522,658251,656316,656726,657452,658846,661022,664378,667471,670216,674297,679491,687810
394463,"Chicago, IL",3,159576,158983,158663,158194,158752,159555,161184,162469,163419,163699,163649,163807,163669,163838,163579,163281,160924,158030,153809,150549,148198,147343,147239,147180,147163,147105,147032,147356,148753,150778,153427,155682,157400,158194,158657,159135,159787,160341,161274,162267,163220,163841,164550,165425,166361,167545,168760,169995,171095,172182,173232,174245,175380,176623,177871,179163,180503,181808,182915,184045,185250,186622,187907,189049,190164,191331,192643,193923,195085,196106,197207,198471,199555,200713,201835,203269,204624,205919,207127,208178,209440,210674,212085,213326,214701,215830,216859,217808,218981,220362,221696,223065,224255,225699,227004,228350,229766,231295,233095,234760,236413,237803,239311,240970,242788,244419,246102,247751,249555,251356,253266,255146,256933,258902,260836,262589,264174,265570,267026,268219,269453,270477,271337,271937,272602,273070,273465,273654,274011,274547,275282,275054,274807,273634,273253,272138,271662,270538,269854,269006,268025,267136,264379,263636,260547,259818,256372,255025,251731,249980,246814,244277,240499,236528,233574,230291,228272,225310,223280,221487,220089,218094,216557,215119,214985,214372,214220,212554,212349,210782,210749,208010,206628,204389,203246,200862,198891,196882,195335,193967,191742,190366,188185,187813,186519,185927,183723,182739,180960,180059,178095,177736,177190,177198,176604,175745,175007,174386,174845,175542,176275,177221,178438,179255,180467,181377,183130,184769,187006,188903,191064,192167,193593,194365,195626,196170,196372,196843,197757,198724,199193,199853,200189,200874,201316,201754,201875,202520,203621,204608,204816,205015,205277,205656,205944,206326,206942,207680,208902,209871,210648,211224,212054,213158,214171,214991,215786,216795,217909,219185,220237,221560,222706,223722,224368,224852,225575,226470,227646,228732,229939,231090,231904,232335,232764,233393,234300,235003,235687,236408,237012,237584,237851,237903,238103,238392,238830,239186,239419,239775,239988,240080,240087,240076,240166,240364,240595
394514,"Dallas-Fort Worth, TX",4,112128,112471,112719,112896,113116,113337,113672,114000,114330,114388,114481,114508,114675,114768,114962,115191,115442,115737,116075,116358,116712,117163,117611,117972,118081,118303,118552,118938,119286,119648,119571,119571,119484,120071,120841,121827,122777,123581,124416,125164,125683,126022,126705,127535,128335,128647,128974,129219,129462,129640,129811,130000,130296,130743,131198,131601,131988,132227,132055,131875,131778,131960,131980,132052,132264,132486,132637,132678,132824,133032,133454,133814,134306,134760,135457,136155,136753,137236,137672,138178,138714,138959,138976,138761,138678,138762,139010,139258,139488,139789,140209,140638,140958,141687,143039,145012,146597,147480,147820,148130,148597,149042,149532,149943,150446,151194,151434,151432,151239,151462,151885,152308,152724,153082,153028,153170,153153,153404,153877,154320,154771,155159,155585,155848,155923,156041,156676,157080,157513,157507,157442,157414,157556,157788,157964,158120,158486,159004,159333,159460,159474,158816,157799,156529,155672,154957,154441,154126,153658,152869,151912,151015,150343,150210,150535,150965,151050,151002,150769,150693,150589,150737,150892,151460,151769,151814,151585,151357,151484,151384,151339,150638,149928,148991,148303,147425,146949,146614,146062,145456,144544,144005,143359,143191,143195,143423,143498,143398,143076,142905,143341,143889,144504,144886,145393,145982,146505,146972,147397,148030,148743,149618,150240,151050,151917,152972,154030,155170,156297,157594,158890,160186,161346,162255,163248,164081,164924,165717,166675,167382,168406,169307,170542,171711,172999,174511,175959,177618,179228,180911,182570,184320,185838,187276,188619,190121,191786,193340,194903,196414,198112,199951,201699,203647,205318,207042,208660,210466,212316,213952,215657,217131,218843,220458,222129,223572,225014,226694,228548,230293,231760,233115,234711,236509,238183,239594,240989,242223,243412,244147,245136,246130,247497,248676,249379,249786,250053,250650,251160,251778,252424,253206,253643,253995,254102,254387,254821
394974,"Philadelphia, PA",5,118864,118702,118608,118564,118542,118583,118668,118796,118901,119030,119196,119422,119671,119918,120149,120349,120505,120616,120699,120821,120996,121187,121382,121567,121712,121784,121833,121909,122151,122432,122772,122966,123168,123335,123576,123869,124226,124627,125035,125499,125870,126227,126547,127096,127765,128511,129237,129833,130434,130989,131584,132101,132605,133151,133784,134365,134966,135578,136300,137094,137868,138635,139381,140213,141031,141880,142710,143700,144577,145546,146484,147620,148790,149955,151170,152374,153818,155360,157041,158583,160300,161940,163667,165237,166905,168580,170256,171953,173601,175378,177163,179082,180782,182514,184321,186350,188437,190624,192929,195416,198055,200522,202736,204848,207250,209970,212409,214648,216755,219175,221779,224442,227078,229687,232408,234997,237448,239420,241269,242844,244474,245798,247024,247971,248750,249327,249672,249857,249877,249977,250028,250289,250332,250705,250826,251024,250752,250488,250267,250046,249700,249017,248552,247889,247275,246003,244586,243005,241635,240283,238795,237333,235906,234599,233432,232505,231654,230733,229795,228907,228330,227963,228025,228272,228408,228505,228180,227753,227356,227341,227444,227206,226376,225139,223598,221907,220422,219175,218254,217145,215715,214007,212363,211107,210254,209461,208725,207963,207328,206472,205586,204975,204711,204448,203963,203383,202982,202813,202743,202774,202804,203035,203248,203576,204063,204823,205733,206638,207379,208131,208753,209349,209721,210160,210622,210849,210629,210534,210614,210861,210823,210767,210865,211128,211523,211752,211949,212327,212909,213248,213322,213432,213810,214177,214311,214348,214312,214431,214701,214955,215367,215834,216670,217368,218062,218637,219361,220077,220975,221955,222741,223279,223760,224462,225190,225806,226508,227296,228384,229371,230329,231062,232082,233295,234604,235574,236378,237115,237822,238668,239390,240309,241026,241813,242353,242922,243387,244033,244720,245543,246340,247011,247601,248094,248725,249398,250156
394692,"Houston, TX",6,109446,109585,109684,109722,109781,109947,110139,110407,110695,110659,110501,110363,110442,110534,110702,110931,111171,111331,111503,111741,111976,112629,113246,113883,114090,114343,114585,114883,115151,115425,115709,115733,115736,115856,116482,117358,118237,119024,119750,120482,121180,121724,122183,122691,123275,123789,124031,124078,124217,124274,124413,124506,124791,125114,125369,125820,126249,126450,126436,126066,125880,125855,125996,126134,125996,126069,126265,126483,126624,126769,127035,127583,128208,128783,129306,129783,130457,130991,131458,131807,132142,132552,132762,132856,132931,133041,133371,133567,133926,134142,134478,134777,135151,135670,136659,138100,139254,140425,140928,141892,142521,143440,144236,144988,145824,146529,147183,147468,147735,147696,147979,148027,148138,148072,147980,148136,148147,148414,148544,148879,149151,149673,150104,150621,151141,151784,152475,153033,153617,154107,154317,154335,154490,154838,155332,155552,155997,156382,156748,157009,157270,157070,156659,156110,155771,155199,154566,154073,153514,152936,152427,151684,150827,150195,150171,150213,150123,150080,150322,150789,151114,151191,150994,151155,151429,151623,151651,151902,152158,152210,151744,150732,149519,148630,148106,147874,147520,147036,146250,145134,144181,143402,143006,142836,142892,142915,142938,142384,142069,141964,142263,142642,142838,143166,143428,143914,144386,144803,145015,145612,146223,147058,147910,149266,150852,152370,153622,154831,156090,157449,158961,160458,161857,163174,164484,165433,166269,167078,168388,169857,171580,173258,174741,176074,177453,178789,180018,181423,182848,184203,185258,185993,186624,187264,188198,188916,189550,190387,191205,191732,191966,192515,193170,193985,194469,194911,195205,195984,196882,197380,197921,198587,199396,199892,200336,200755,201109,201516,201971,202529,203057,203635,204080,204687,205739,206848,207694,208304,209220,210250,211068,211617,212132,213175,214031,214619,214659,214925,215394,216018,216490,216836,217317,217832,218338,218469,218783
395209,"Washington, DC",7,177879,177760,177608,177444,177336,177358,177494,177552,177620,177403,177277,177099,177196,177148,177223,177371,177494,177436,177344,177412,177493,177889,178260,178746,178926,179115,179225,179337,179523,179820,180024,180185,180469,180989,181758,182497,183232,183904,184686,185482,186193,187011,187931,189085,190125,191162,192071,192983,193886,194948,196092,197455,198942,200487,202164,203835,205771,207637,209486,211413,213549,215775,217946,220019,222151,224334,226562,228974,231407,233916,236291,238765,241350,244137,247033,250038,253213,256301,259378,262364,265463,268482,271793,275108,278323,281196,284065,286878,289777,292890,296637,300655,304578,308366,312645,317180,322055,327171,332994,339649,346579,353700,359957,365964,371988,378776,385130,391405,398183,405826,413444,420330,426583,432941,439337,444799,449644,453548,457350,460886,463094,464386,464613,464575,463962,461700,459090,457137,455900,454579,453041,451527,450355,448592,445798,442545,439209,436839,433732,429864,424766,420055,415039,409338,402898,395671,389324,383250,377989,372609,367745,363189,358906,353923,349353,345133,341702,339486,338117,337358,336479,335471,334966,335128,336020,337293,337641,338367,339162,340484,340513,339994,339102,338787,338163,336742,335362,334407,334654,334255,333778,332499,332043,331383,331151,330542,330079,330113,330027,329873,329834,330794,331956,333211,334558,336308,337913,339185,340834,342862,345348,347974,350069,351896,353714,356262,358643,360994,363498,366625,369361,371675,373153,374686,376159,377352,378318,378392,378432,378572,378741,378861,378797,378875,378995,378734,379216,379977,380424,380670,380951,381434,381722,381836,382351,382774,383516,384107,383868,383838,384604,386456,387827,388848,389622,390849,391797,392862,394206,396125,398458,399790,400647,400645,401453,402450,404107,405453,406920,408411,409236,409836,410286,411658,413261,415274,416967,418575,419377,419919,420285,420642,421783,423212,424848,426025,426756,427570,428345,429158,430312,431718,433232,434703,435815,436685,437409
394856,"Miami-Fort Lauderdale, FL",8,111449,111667,111979,112293,112558,112669,112783,112945,113148,113058,113044,113051,113389,113687,113920,114131,114360,114613,114792,114967,115185,115958,116596,117147,117161,117293,117137,117057,117115,117733,118475,119046,119411,119470,119589,119723,120076,120483,121356,122145,122838,122927,123048,123346,123752,124294,124927,125732,126579,127264,127867,128457,129045,129804,130565,131496,132503,133542,134623,135829,137101,138560,139995,141636,143365,145274,147267,149109,150787,152348,153887,155293,156780,158258,159894,161566,163395,165098,166810,168522,170715,172931,175291,177612,180010,182240,184234,186089,187968,190115,192407,194975,197234,199878,202395,205101,207600,210542,213793,217287,221022,224883,228997,233086,237640,242003,246818,251722,256725,261998,267595,274038,280348,286574,292175,297274,301898,306717,310884,315532,320637,325389,329124,331278,332854,333857,334123,334810,334677,334500,333559,331972,329059,325681,321716,317840,313871,309843,306321,301643,296996,290775,284810,278071,272013,265885,260285,254161,247584,240732,233706,227198,221313,215956,210936,205895,201237,196745,193154,190086,187657,185464,184034,182776,181341,180395,179697,179521,178872,178170,176828,175635,174200,172911,171066,169473,168129,166680,165349,164009,163129,162188,161378,160577,160043,159646,159629,159749,159881,160121,160136,160430,160793,161659,162910,164148,165659,167248,168926,170264,171723,173616,176144,178863,181946,184783,187304,189923,192629,195521,198216,201577,204751,207725,209700,211702,212913,214558,216003,217926,219397,220717,222246,223090,224279,225198,226945,228278,229888,231151,232635,233715,235066,236718,238254,240147,241732,243622,245182,246752,248369,250018,252049,254080,255833,257185,258505,260070,261724,263265,264631,265717,267148,268537,269891,271108,272888,274660,276567,277449,278663,279462,281103,282807,284288,285943,287124,288627,289703,290815,291488,293075,294582,296120,295981,295864,295955,296223,296768,297171,297715,298352,299301,300021,300663,301550,303426
394347,"Atlanta, GA",9,120482,120961,121481,121944,122403,122837,123308,123793,124315,124658,125043,125453,126019,126545,126982,127474,128051,128699,129320,129852,130398,131269,132131,132916,133362,133934,134579,135286,135918,136532,137157,137941,138661,139327,139960,140739,141611,142451,143332,144260,145139,146025,146882,147760,148613,149397,150261,151182,152250,153287,154302,155260,156291,157317,158397,159369,160419,161402,162336,163152,163903,164709,165466,166243,166989,167727,168408,169089,169748,170405,171067,171648,172227,172711,173216,173654,174043,174428,174835,175252,175575,175937,176249,176658,176940,177237,177520,177834,178174,178489,178782,179087,179460,179756,180076,180395,180872,181285,181624,181974,182426,182924,183445,183908,184368,184888,185451,186008,186535,187154,187828,188407,188947,189544,190209,190941,191584,192300,192912,193446,193836,194181,194623,195172,195687,196123,196467,196858,197321,197812,198281,198797,199153,199371,199318,199161,198825,198289,197667,196974,196441,195488,194330,192789,191556,190341,189035,187471,185778,184182,182414,180164,177208,174417,171814,169552,166943,164506,162421,161082,160017,159030,157861,157039,156674,156250,155681,154987,154798,154717,154316,152858,150865,148463,146500,144565,143101,141517,140221,138397,136430,134021,131896,130369,129732,129832,129917,129739,128859,128319,127793,128280,128854,129780,130715,131715,132216,132213,132363,133221,134515,136052,137731,139446,141076,142864,144754,146651,148814,151183,153500,155384,157307,158875,160316,161300,162311,163139,163884,164849,165690,166588,167350,168185,168976,169781,170545,171212,172003,173038,174261,175214,176194,177151,178063,178930,179663,180721,181765,183172,184530,185709,186527,187236,188056,188759,189811,190951,192426,193496,194692,195780,196969,198212,199712,201330,202707,204322,205805,207497,209154,211082,212915,214325,215652,217062,218760,220440,222080,223639,225267,226747,227923,228830,229618,230646,231727,232832,233625,234399,235311,236193,237012,237816,238798,239923,241153
